accountNo, accountType, issuerAccount, amount
00300001,2,00100001,1020000
00300002,2,00100002,1110000
00300003,2,00100003,1110000
00300004,2,00100004,1110000
00300005,2,00100005,930000
00300006,2,00100006,1020000
00300007,2,00100007,1020000
00300008,2,00100008,1020000
00300009,2,00100009,1200000
00300010,2,00100010,1110000
00300011,2,00100011,1020000
00300012,2,00100012,1110000
00300013,2,00100013,1110000
00300014,2,00100014,1200000
00300015,2,00100015,1200000
00300016,2,00100016,1200000
00300017,2,00100017,1200000
00300018,2,00100018,1200000
00300019,2,00100019,1020000
00300020,2,00100020,1110000
00300021,2,00100021,1110000
00300022,2,00100022,1020000
00300023,2,00100023,1200000
00300024,2,00100024,1200000
00300025,2,00100025,1110000
00300026,2,00100026,1200000
00300027,2,00100027,1020000
00300028,2,00100028,1110000
00300029,2,00100029,1110000
00300030,2,00100030,1110000
00300031,2,00100031,1110000
00300032,2,00100032,1110000
00300033,2,00100033,1110000
00300034,2,00100034,1110000
00300035,2,00100035,930000
00300036,2,00100036,1020000
00300037,2,00100037,1200000
00300038,2,00100038,1110000
00300039,2,00100039,1110000
00300040,2,00100040,1200000
00300041,2,00100041,930000
00300042,2,00100042,1200000
00300043,2,00100043,930000
00300044,2,00100044,1200000
00300045,2,00100045,1200000
00300046,2,00100046,1200000
00300047,2,00100047,1200000
00300048,2,00100048,1200000
00300049,2,00100049,1110000
00300050,2,00100050,1200000
00300051,2,00100051,1020000
00300052,2,00100052,1110000
00300053,2,00100053,1020000
00300054,2,00100054,1200000
00300055,2,00100055,1110000
00300056,2,00100056,1020000
00300057,2,00100057,1110000
00300058,2,00100058,1200000
00300059,2,00100059,1200000
00300060,2,00100060,1200000
00300061,2,00100061,1200000
00300062,2,00100062,1110000
00300063,2,00100063,1110000
00300064,2,00100064,1200000
00300065,2,00100065,1200000
00300066,2,00100066,1110000
00300067,2,00100067,840000
00300068,2,00100068,1200000
00300069,2,00100069,1200000
00300070,2,00100070,1110000
00300071,2,00100071,1110000
00300072,2,00100072,1110000
00300073,2,00100073,1110000
00300074,2,00100074,1020000
00300075,2,00100075,1200000
00300076,2,00100076,1110000
00300077,2,00100077,1020000
00300078,2,00100078,1200000
00300079,2,00100079,1020000
00300080,2,00100080,1110000
00300081,2,00100001,1110000
00300082,2,00100002,1200000
00300083,2,00100003,1110000
00300084,2,00100004,1020000
00300085,2,00100005,930000
00300086,2,00100006,1110000
00300087,2,00100007,1020000
00300088,2,00100008,1110000
00300089,2,00100009,1110000
00300090,2,00100010,1020000
00300091,2,00100011,1020000
00300092,2,00100012,1020000
00300093,2,00100013,1110000
00300094,2,00100014,1020000
00300095,2,00100015,1020000
00300096,2,00100016,1020000
00300097,2,00100017,1020000
00300098,2,00100018,1110000
00300099,2,00100019,1020000
00300100,2,00100020,1200000
00300101,2,00100021,1110000
00300102,2,00100022,930000
00300103,2,00100023,1200000
00300104,2,00100024,1110000
00300105,2,00100025,1020000
00300106,2,00100026,1110000
00300107,2,00100027,1020000
00300108,2,00100028,1200000
00300109,2,00100029,1200000
00300110,2,00100030,1200000
00300111,2,00100031,1110000
00300112,2,00100032,1110000
00300113,2,00100033,1200000
00300114,2,00100034,1110000
00300115,2,00100035,1200000
00300116,2,00100036,930000
00300117,2,00100037,1200000
00300118,2,00100038,1020000
00300119,2,00100039,1200000
00300120,2,00100040,930000
00300121,2,00100041,930000
00300122,2,00100042,1200000
00300123,2,00100043,1200000
00300124,2,00100044,1200000
00300125,2,00100045,1200000
00300126,2,00100046,1200000
00300127,2,00100047,1110000
00300128,2,00100048,1200000
00300129,2,00100049,1110000
00300130,2,00100050,930000
00300131,2,00100051,1110000
00300132,2,00100052,1110000
00300133,2,00100053,1110000
00300134,2,00100054,1110000
00300135,2,00100055,1200000
00300136,2,00100056,1110000
00300137,2,00100057,1020000
00300138,2,00100058,1110000
00300139,2,00100059,1020000
00300140,2,00100060,1110000
00300141,2,00100061,1200000
00300142,2,00100062,1020000
00300143,2,00100063,1110000
00300144,2,00100064,1020000
00300145,2,00100065,1020000
00300146,2,00100066,1110000
00300147,2,00100067,930000
00300148,2,00100068,1200000
00300149,2,00100069,1110000
00300150,2,00100070,1020000
00300151,2,00100071,1110000
00300152,2,00100072,1110000
00300153,2,00100073,1110000
00300154,2,00100074,1020000
00300155,2,00100075,1110000
00300156,2,00100076,1020000
00300157,2,00100077,1200000
00300158,2,00100078,1200000
00300159,2,00100079,1110000
00300160,2,00100080,1200000
00300161,2,00100001,1200000
00300162,2,00100002,1200000
00300163,2,00100003,1020000
00300164,2,00100004,1020000
00300165,2,00100005,1110000
00300166,2,00100006,930000
00300167,2,00100007,1110000
00300168,2,00100008,1110000
00300169,2,00100009,1020000
00300170,2,00100010,1110000
00300171,2,00100011,1110000
00300172,2,00100012,1110000
00300173,2,00100013,1020000
00300174,2,00100014,840000
00300175,2,00100015,1200000
00300176,2,00100016,1200000
00300177,2,00100017,1200000
00300178,2,00100018,1110000
00300179,2,00100019,1200000
00300180,2,00100020,1200000
00300181,2,00100021,840000
00300182,2,00100022,1200000
00300183,2,00100023,1200000
00300184,2,00100024,1110000
00300185,2,00100025,1110000
00300186,2,00100026,1110000
00300187,2,00100027,1110000
00300188,2,00100028,1110000
00300189,2,00100029,1200000
00300190,2,00100030,1110000
00300191,2,00100031,1110000
00300192,2,00100032,1110000
00300193,2,00100033,1200000
00300194,2,00100034,1200000
00300195,2,00100035,1020000
00300196,2,00100036,1110000
00300197,2,00100037,1020000
00300198,2,00100038,1200000
00300199,2,00100039,1110000
00300200,2,00100040,1200000
